Number,Species,Type 1,Type 2,Base HP,Base Str,Dot Str,Base Dex,Dot Dex,Base End,Dot End,Base Sp,Dot Sp,Base Spirit,Dot Spirit,ABILITY 1,ABILITY 2,H.ABILITY,Evolves From,Evolution Method,Height,Weight
1,Bulbasaur,Grass,Poison,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Overgrow,,Chlorophyll,,,0.7,6.9
2,Ivysaur,Grass,Poison,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Overgrow,,Chlorophyll,Bulbasaur,Amateur Rank,1,13
3,Venusaur,Grass,Poison,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Overgrow,,Chlorophyll,Ivysaur,Ace Rank,2,100
3,Mega Venusaur,Grass,Poison,8,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,Thick Fat,,,,,2.4,155.5
4,Charmander,Fire,,3,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Blaze,,Solar Power,,,0.6,8.5
5,Charmeleon,Fire,,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Blaze,,Solar Power,Charmander,Amateur Rank,1.1,19
6,Charizard,Fire,Flying,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Blaze,,Solar Power,Charmeleon,Ace Rank,1.7,90.5
6,Mega Charizard X,Fire,Dragon,7,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Tough Claws,,,,,1.7,110.5
6,Mega Charizard Y,Fire,Flying,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Drought,,,,,1.7,100.5
7,Squirtle,Water,,4,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Torrent,,Rain Dish,,,0.5,9
8,Wartortle,Water,,5,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Torrent,,Rain Dish,Squirtle,Amateur Rank,1,22.5
9,Blastoise,Water,,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Torrent,,Rain Dish,Wartortle,Ace Rank,1.6,85.5
9,Mega Blastoise,Water,,7,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Mega Launcher,,,,,1.6,101.1
10,Caterpie,Bug,,4,1,⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Shield Dust,,Run Away,,,0.3,2.9
11,Metapod,Bug,,5,1,⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Shed Skin,,,Caterpie,Beginner Rank,0.7,9.9
