Move,Type,Category,Power Modifier 1,Power,Power Modifier 2,Accuracy Modifier 1,Accuracy Modifier 2,Target,Effect
Absorb,Grass,SPECIAL,SPECIAL,1,,SPECIAL,CHANNEL,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Absorb always restores 1 HP."
Accelerock,Rock,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1.
Acid,Poison,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,On a Chance Dice roll of 10 decrease the Target's Special Defense by 1.
Acid Armor,Poison,SUPPORT,,0,,ENDURANCE,NATURE,User,Increase the User’s Defense by 2.
Acid Spray,Poison,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Decrease the Target's Special Defense by 2.
Acrobatics,Flying,PHYSICAL,STRENGTH,4,,DEXTERITY,ATHLETICS,Single Target,"If the User has a Held Item, remove 2 dice from the Damage Pool."
Acupressure,Normal,SUPPORT,,0,,ENDURANCE,NATURE,User,"Increase a random Stat of the User by 2. Roll a 1d7, on a 1 - Strength, 2 - Defense, 3 - Special, 4 - Special Defense, 5 - Dexterity, 6 - Accuracy, and 7 - Evasion. Reroll the 1d7 if the increased Stat is already at +6."
Aerial Ace,Flying,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Aerial Ace can not be Evaded and ignores the User's Accuracy decreases.
Aeroblast,Flying,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,High Critical. The User removes 1 Success from the Accuracy Roll.
After You,Normal,SUPPORT,,0,,COOL,ETIQUETTE,Single Target,The Target will go first in the Initiative order as long as the Target stays on the Battlefield. After You can not be Evaded and ignores the User's Accuracy decreases.
Agility,Psychic,SUPPORT,,0,,DEXTERITY,ATHLETICS,User,Increase the User’s Dexterity by 2.
Air Cutter,Flying,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,High Critical. The User removes 1 Success from the Accuracy Roll.
Air Slash,Flying,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Ally Switch,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,User Switcher Move.
Amnesia,Psychic,SUPPORT,,0,,SPIRIT,CHANNEL,User,Increase the User’s Special Defense by 2.
Anchor Shot,Steel,PHYSICAL,STRENGTH,3,,DEXTERITY,CHANNEL,Single Target,Ranged. Block.
Ancient Power,Rock,SPECIAL,SPECIAL,2,,SPIRIT,CHANNEL,Single Target,"On a Chance Dice roll of 10 Increase the User's Strength, Dexterity, Special, Defense, and Special Defense by 1"
Apple Acid,Grass,SPECIAL,SPECIAL,3,,SPECIAL,NATURE,Single Target,Decrease the Target’s Special Defense by 1.
Aqua Cutter,Water,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical.
Aqua Jet,Water,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1.
Aqua Ring,Water,SUPPORT,,0,,SPECIAL,NATURE,User,The User restores 1 HP at the end of the Turn. This effect last for as long as the User is on the Battlefield.
Aqua Step,Water,PHYSICAL,STRENGTH,3,,DEXTERITY,PERFORM,Single Target,Increase the User’s Dexterity by 1.
Aqua Tail,Water,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Arm Thrust,Fighting,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Successive Actions.
Armor Cannon,Fire,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,Decrease the User's Defense and Special Defense by 1.
Aromatherapy,Grass,SUPPORT,,0,,SPIRIT,NATURE,User and Allies,"The User and Allies are cured from Burn, Frostbite, Paralysis, Poison or Sleep. "
Aromatic Mist,Fairy,SUPPORT,,0,,BEAUTY,NATURE,Single Target,Increase the Target's Special Defense by 1.
Assist,Normal,SUPPORT,,0,,CLEVER,PERFORM,Single Target,"The User performs a random move learnt by an Ally. The move uses the Accuracy roll from Assist. All effects of the copied move apply, including decreased Accuracy."
