Name,Description,Cost
Ability Shield,"The Holder's Ability cannot be changed, The Holder is unaffected by effects that ignore Abilities.",
Absorb Bulb,"Consume. Increase the Holder's Special by 1 if the Holder received Water-Type damage from a Physical or Special move, or Clash.",
Adamant Orb,Add 1 extra dice to the Damage Pool of all Dragon-Type and Steel-Type moves. Adamant Orb can only be used by Dialga.,
Air Balloon,"The Holder is Immune to Entry Hazards, Terrains, the Ability Arena Trap, and Ground-Type Physical and Special moves. If the Holder of the Air Balloon takes damage from a Physical or Special move, destroy the Air Ballon. Clashing does not destroy the Air Balloon. When the Holder of the Air Ballon enters the Battlefield, the Trainer must declare the Holder Held Item is Air Ballon.",
Amulet Coin,"When the Holder faints a Foe’s Pokemon, the Holder receives Pokedollars equal to the fainted Pokemon's Rank: Starter - 10p, Beginner - 25p, Amateur - 50p, Ace - 75p, Pro - 100p, Elite - 125p, Master - 150p",
Apicot Berry,"Consume. Increase the Holder's Special Defense by 1 if the Holder's HP is below 25%, rounded down.",
Aspear Berry,Consume. The Holder is cured of Frostbite.,
Assault Vest,Increase the Holder's Special Defense by 2. The Holder can not use Support moves.,
Babiri Berry,"Consume. The Holder receives half the amount of damage, rounded down, from a Super Effective Steel-Type Physical or Special move.",
Beserk Gene,"Consume. Increase the Holder's Strength by 2. The Holder is Confused. Confusion caused by Berserk Gene can not be removed, unless the Holder leaves the Battlefield.",
Big Root,"The Holder restores 1 additonal HP when the Holder uses any draining moves such as Absorb, Draining Kiss, Drain Punch, or the Holder is under the effects of Leech Seed, Aqua Ring, or Ingrain.",
Binding Band,"The Holder's binding moves such as Fire Spin, Infestation, and Wrap do 1 additional Neutral damage at the end of Turn.",
Black Belt,Add 1 extra dice to the Damage Pool of the Holder's Fighting-Type moves.,
Black Glasses,Add 1 extra dice to the Damage Pool of the Holder's Dark-Type moves.,
Black Sludge,"If the Holder is a Poison-Type Pokemon, restore 1 HP at the end of Turn. If the Holder is not a Poison-Type, the Holder take 1 Neutral damage.",
Blank Plate,Add 1 extra dice to the Damage Pool of the Holder's Normal-Type moves.,
Blue Scarf,Increase the Holder's Base Beauty by 1.,
Blunder Policy,Consume. Increase the Holder's Dexterity by 2 if the Holder fails an Accuracy Roll or a Target Evades a move performed by the Holder.,
Booster Energy,"Consume. If the Holder has the Ability Protosynthesis or Quark Drive, activate the effects of the Ability. Booster Energy is restored at the end of the battle. ",
